; 13
Pasando; 1
Pasaron; 12
Pascua; 1
Pasó; 4
Patil; 5
Patrullaba; 1
Paws; 1
Pe; 1
Peeves; 31
Peeves; 1
Pegada; 1
Peltre; 1
Pensamos; 1
Pensante; 1
Pensaste; 1
Pensé; 2
Pensó; 1
Peor; 2
Pequeño; 1
Percy; 38
Perdón; 1
Perenela; 2
Perfecto; 1
Perks; 1
Pero; 119
Pese; 2
Pestañeé; 1
Pestañeó; 1
Petrificado; 1
Petunia; 52
Petunia.»; 1
Petunia; 4
Philosophers; 1
Phyllida; 1
Piedra; 61
Piedras; 1
Piensa; 1
Piernas; 3
Piers; 15
Pince; 3
Plata; 1
Plegables»; 1
Pobre; 2
Pociones; 10
Pociones; 1
Poco; 2
Podemos; 2
Podrás; 1
Podré; 1
Podría; 4
Podrías; 2
Podéis; 2
Podía; 7
Podían; 3
Polkiss; 2
Pomfrey; 14
Por; 48
Porque; 7
Potter; 97
Potter!»; 1
Preguntarle; 1
Preparados; 1
Prewetts; 1
Primer; 1
Primera; 2
Primero; 2
Printed; 1
Privet; 15
Probablemente; 2
Prof; 1
Profesora; 1
Profeta; 3
Prohibida; 5
Propias; 1
Prueba; 2
Pruébatela; 1
Pruébatelo; 1
Ptolomeo; 1
Pucey; 3
Puede; 3
Pueden; 1
Puedes; 6
Puedo; 3
Puerco; 1
Puerta; 1
Pues; 3
Pulida; 1
Puso; 2
Pérdida; 1
QUE; 3
QUÉ; 1
Que; 2
Quejándose; 1
Quentin; 1
Querido; 4
Quería; 2
Querían; 1
Quidditch; 3
Quien-tú-sabes; 14
Quien-usted; 1
Quien-usted-sabe; 4
Quiero; 11
Quince; 1
Quirrell; 104
Quirrell; 4
Quise; 1
Quizá; 1
Quién-usted-sabe; 2
Qué; 7
Quítatelo; 1
RECIENTE; 1
RECUERDA; 1
RESTO; 1
Railview; 1
Ramón; 1
Ravenclaw; 10
Ravenclaws; 1
Raíces; 1
Realmente; 3
Recibieron; 1
Recibió; 1
Reconoció; 1
Recordad; 1
Recordadora; 8
Recordó; 1
Recuerda; 1
Registrada; 1
Regresó; 2
Resbalando; 1
Residente; 1
Resopló; 1
Respirando; 1
Respiró; 2
Resulta; 1
Retorciéndose; 1
Retrocedieron; 1
Retrocedió; 2
Revolvió; 1
Riéndose; 1
Rió; 1
Roble; 1
Roca; 1
Ron; 350
Ronald; 3
Ronan; 17
Ronan; 1
Ronnie; 2
Ron; 58
Rowling; 2
Rubeus; 1
Rumania; 5
Rápido; 1
S.A; 1
SE; 2
SERPIENTE; 1
Sabemos; 1
Sabes; 2
Sabores; 1
Sabía; 3
Sabían; 1
Sacad; 1
Sacó; 5
Sahara; 1
Salieron; 4
Salió; 6
Sally-Anne; 1
Salomón; 1
Salía; 1
Sanguinario; 6
Scabbers; 11
Scamander; 1
Se; 161
Seamus; 17
Seamus; 1
Sección; 5
Seguidme; 1
Segunda; 1
Segundos; 1
Seguramente; 1
Seguro; 6
Seguía; 2
Según; 1
Seleccionador; 4
Selección; 3
Selva; 1
Sencillamente; 1
Sentado; 1
Separó; 1
Será; 3
Sería; 1
Serían; 1
Serías; 1
Severus; 4
Señaló; 2
Señor; 7
Señora; 12
Si; 52
Siempre; 4
Siete; 2
Siguieron; 2
Siguió; 2
Simplemente; 1
Sin; 28
Sintió; 3
Sir; 3
Sirius; 2
Situados; 2
Slytherin; 53
Slytherins; 3
Slytherin; 1
Smarmy; 1
Smelting; 5
Smeltings; 1
Sna; 1
Snape; 155
Snape; 5
Snape»; 1
Snowy; 1
Sobre; 1
Sois; 1
Sombrero; 5
Somos; 1
Son; 6
Sonriéndole; 1
Sonrió; 2
Soy; 2
Soñé; 1
Spain; 1
Spinnet; 3
Spore; 1
Sprout; 4
Stone; 1
Stonewall; 4
Su; 27
Subieron; 9
Subió; 2
Sucedió; 2
Sucedían; 1
Suelo; 1
Supongo; 11
Suponía; 1
Supremo; 1
Supuso; 1
Surrey; 1
Sus; 15
Susan; 2
Switch; 1
Sé; 5
Sí; 15
Sírvete; 1
Sólo; 12
Súbitamente; 1
TENER; 1
TONTO; 1
TRUCOS; 1
TU; 1
Tal; 17
Tamaños; 1
También; 8
Tamborileó; 1
Tampoco; 2
Tan; 3
Tardaron; 1
Te; 20
Ted; 1
Teda; 1
Tel; 1
Telespectadores; 1
Tendremos; 1
Tendrá; 1
Tendrás; 1
Tendréis; 1
Tendría; 1
Tendríais; 2
Tendrían; 1
Tendrías; 1
Tenemos; 7
Tengo; 9
Tenéis; 1
Tenía; 33
Tenían; 5
Teoría; 1
Tercera; 1
Terence; 1
Terrenos; 1
Terribles; 1
Terry; 2
Thomas; 2
Tibbles; 1
Tiene; 1
Tienes; 4
Tiraron; 1
Toc; 3
Tocó; 1
Toda; 4
Todas; 1
Todavía; 6
Todo; 10
Todos; 37
Tom; 1
Toma; 2
Tomaba; 1
Torció; 1
Torre; 1
Tosió; 1
Total; 2
Totalmente; 1
Trabaja; 1
Traducción; 1
Transcurrieron; 1
Transformaciones; 1
Transformación; 1
Tras; 1
Trata; 1
Trataban; 1
Trataron; 1
Trató; 9
Treinta; 2
Tres; 5
Trevor; 2
Trimble; 1
Trozos; 1
Tu; 6
Tufty; 1
Turpin; 1
Tuvo; 4
Tía; 10
Tío; 25
Título; 1
Tú; 7
UNA; 1
UNIFORME; 1
Ulrico; 1
Un; 53
Una; 41
Unas; 3
Unidas; 2
Uno; 4
Unos; 5
Usted; 1
Utiliza; 2
Utilizamos; 1
Utilízalo; 1
VAN; 1
VER; 1
VIEJO; 1
VIOLENTO; 1
VOY; 1
VUELAN; 1
VUELTO; 1
Va; 1
Vaciló; 1
Vagando; 1
Valía; 1
Vamos; 17
Van; 1
Varios; 2
Vas; 1
Vaya; 3
Ve; 1
Vehemente; 1
Veinte; 1
Veinticuatro; 1
Veintiocho; 1
Veintiséis; 1
Veintitrés; 1
Ven; 1
Ver; 1
Verde; 1
Verdes; 1
Vernon; 106
Vernon; 6
Verrugas; 1
Vete; 2
Vi; 1
Vida; 5
Vindictus; 1
Vine; 1
Vio; 2
Viridian; 1
Vol; 5
Volaron; 1
Voldemort; 36
Volvieron; 1
Voló; 1
Voy; 7
Vuestro; 1
Waffling; 1
Warner; 1
Weasley; 59
West; 1
Whinging; 1
Wight; 1
Win-gar-dium; 1
Wood; 42
Wood; 11
XX; 2
Y; 113
Ya; 34
Yo; 37
Yorkshire; 1
Yvonne; 1
Zabini; 1
a; 1674
a-aquí; 1
a.C.»; 1
abajo; 19
abalanzó; 2
abandonado; 3
abandonaron; 1
abatimiento; 1
abertura; 3
abeto; 2
abierta; 10
abierto; 4
abiertos; 5
abominables; 1
aborrecía; 1
abovedado; 1
abra; 1
abracadabra; 1
abrazaba; 2
abrazado; 2
abrazándolo; 1
abrazó; 2
