; 4
algunas; 2
alguno; 2
algunos; 7
algún; 11
aliada; 1
aliento; 7
alimentar; 1
alimentarlos; 1
alisaba; 1
aliviados; 1
alivio; 2
allá; 4
allí; 27
alma; 3
almohada; 1
almohadas; 2
almuerzo; 2
alocados; 1
alrededor; 25
alsaciano; 1
alta; 4
altanera; 1
altar; 1
alterarlo; 1
alternativamente; 1
altivamente; 1
altivez; 1
alto; 9
altura; 4
alturas; 2
alumno; 2
alza; 1
alzaba; 1
alzado; 1
alzando; 1
alzar; 1
alzaron; 1
alzarse; 1
alzó; 3
ama; 2
amable; 2
amablemente; 2
amables; 1
amados; 1
amamantado; 1
amanecer; 4
amargamente; 2
amargo; 1
amargura; 3
amarillas; 1
amarillo; 1
ambición; 1
ambos; 3
amedrentó; 1
amenaza; 1
amenazador; 5
amenazadoramente; 5
amiga; 2
amigas; 1
amigo; 3
amigos; 4
amistades; 1
amistosa; 1
amistosamente; 1
amistoso; 1
amo; 3
amonestaciones; 1
amontonado; 1
amor; 15
amordazados; 1
amos; 1
amotinarse; 1
amplio; 1
ancha; 2
anchura; 1
anciana; 1
andar; 2
andarnos; 1
anfitriona; 2
angelicalmente; 1
angelito; 1
anglosajona; 1
anguila; 1
angustia; 2
angustiada; 2
angustiado; 2
angustioso; 1
anhelaba; 2
anhelo; 1
anidan; 1
anillos; 1
animaba; 1
animación; 3
animal; 2
animales; 8
animar; 1
animarlos; 1
animáis; 1
aniquilando; 1
ansia; 2
ansiaba; 1
ansioso; 1
ansiosos; 1
antaño; 1
ante; 27
anterior; 2
antes; 41
anticuados; 1
antigua; 4
antipática; 1
anuda; 1
anudó; 1
anunciaba; 1
anunciar; 1
anunció; 1
apacible; 1
apaga; 1
apagaba; 1
apagado; 2
apagarla; 1
apagarlas; 1
apagaron; 1
apagarse; 1
apague; 1
apagó; 3
aparece; 1
aparecen; 1
aparecer; 2
aparecido; 2
apareciera; 1
aparecieron; 1
aparecía; 1
aparecían; 2
aparezco; 1
aparición; 1
apariencias; 1
aparta; 1
apartaba; 2
apartaban; 1
apartado; 2
apartamento; 1
apartando; 2
apartar; 1
apartara; 1
apartaran; 2
apartaron; 1
apartarse; 2
aparte; 2
apartándose; 1
apartó; 5
apasionado; 1
apea; 1
apelando; 1
apellido; 1
apenada; 1
apenados; 1
apenar; 1
apenaros; 1
apenas; 8
apenó; 1
apesadumbrado; 2
apeteciera; 1
apiadaba; 1
apiadarnos; 1
apiñaban; 1
apiñado; 1
apiñaron; 2
aplacaran; 1
aplaudid; 1
aplaudieron; 1
aplaudir; 1
aplausos; 2
apoderó; 2
aposento; 3
apostado; 1
apoyaba; 1
apoyada; 2
apoyado; 1
apoyados; 1
apoyar; 1
apoyaría; 1
apreciado; 1
aprender; 1
aprendido; 2
apresuradamente; 2
apresurado; 1
apresuraron; 1
apretados; 2
apretar; 3
apretándose; 1
apretó; 2
apretón; 1
aprietan; 1
apropiada; 1
apropiado; 2
apropiados; 1
aprovechaba; 1
aprovechan; 1
aprovecharse; 1
aprovecharán; 1
aprovechó; 1
apurado; 1
apuro; 1
apuró; 1
apuñalado; 1
apuñalarlo; 1
aquel; 17
aquella; 13
aquello; 11
aquellos; 6
aquél; 1
aquélla; 1
aquéllos; 1
aquí; 23
araña; 2
arboles; 1
archienemigo; 1
arco; 5
arcos; 1
ardiendo; 1
ardía; 1
arena; 3
arma; 1
armados; 1
armario; 2
armas; 8
armándose; 1
arrancados; 1
arrancarla; 1
arrancarle; 1
arrancarse; 1
arrancó; 3
arrastraban; 1
arrastrado; 1
arrastrados; 1
arrastrarla; 1
arrastrarse; 1
arrastrándola; 1
arrastrándose; 2
arrastró; 2
arrebatado; 1
arrebatársela; 1
arrecifes; 1
arregla; 1
arreglaba; 1
arreglado; 2
arreglando; 1
arreglárselas; 2
arriba; 17
arriban; 1
arribar; 1
arriesgó; 1
arrimó; 1
arrinconado; 1
arrodillados; 1
arrodilló; 2
arrogancia; 2
arrogante; 1
arrojados; 1
arropado; 3
arropar; 1
arropó; 2
arroyo; 1
arrugada; 3
artes; 1
articulaciones; 1
asado; 2
asaltaron; 1
asaltó; 1
ascender; 1
ascuas; 2
aseguraba; 1
asegurarlos; 1
aseguraron; 1
asegurarse; 2
aseguro; 6
aseguró; 2
asesina; 1
asesinatos; 1
asidero; 1
asiento; 2
asintió; 1
asistido; 1
asistir; 1
asociados; 1
asoman; 1
asomando; 3
asomarse; 1
asombrada; 1
asombro; 3
asombrosa; 2
asombrosas; 1
asomándose; 1
aspecto; 6
aspereza; 4
aspirando; 1
aspirar; 1
asqueroso; 1
astucia; 4
astuta; 2
astuto; 1
astutos; 1
asunto; 6
asustaban; 1
asustada; 2
asustado; 4
asustados; 2
asustarse; 1
asustó; 1
así; 68
ataba; 4
ataca; 1
atacaban; 1
atacado; 1
atacante; 1
atada; 3
atadla; 1
atado; 4
atados; 1
ataduras; 3
atando; 1
ataque; 7
atar; 2
atardecer; 1
atareados; 1
atascado; 1
atascados; 1
atemorizaba; 1
atenazaba; 1
atenciones; 1
atención; 4
atenerse; 1
atentado; 1
atentamente; 8
aterrados; 1
aterrorizado; 2
aterrorizados; 2
aterrorizando; 1
aterrorizar; 1
atiborrado; 1
atiborrara; 1
atiborrarse; 1
atisbaban; 1
atisbar; 2
atisbó; 2
atizador; 1
atizara; 1
atontó; 1
atormenta; 2
atormentado; 1
atosigaba; 1
atractivo; 2
atractivos; 1
atraer; 1
atraerlo; 1
atrapaba; 1
atrapado; 1
atrapados; 1
atrapar; 1
atraparlo; 1
atravesaba; 1
atravesar; 1
atraía; 1
atreverse; 1
atreves; 2
atrevido; 2
atrevieron; 1
atrevió; 1
atrevía; 2
atrevían; 1
atribuir; 1
atrás; 4
aturdida; 1
ató; 2
atónitos; 2
audaz; 1
aullido; 3
aullidos; 2
aulló; 2
aumentaba; 1
aumentaría; 1
aunque; 50
ausencia; 3
ausente; 1
autobuses; 1
autobús; 1
automáticamente; 1
auténtica; 5
auténticas; 1
auténtico; 7
auténticos; 3
autógrafo; 1
avanzaba; 3
avanzaban; 2
avanzando; 1
avanzar; 2
avanzaron; 2
avanzó; 2
ave; 18
avejentada; 1
aventura; 17
aventuramos; 1
aventuras; 12
avergonzados; 2
avergonzadísimo; 1
averiguado; 1
averiguar; 2
avidez; 3
avistado; 1
avistar; 1
avistaron; 1
avizor; 1
ay; 2
ayer; 1
ayuda; 8
ayudar; 3
ayudarlo; 1
ayuden; 1
azul; 2
azules; 2
azúcar; 2
a°oír; 1
añadiendo; 1
añadieron; 1
añadió; 2
año; 6
años; 13
aún; 22
baba; 1
bacalao; 4
baila; 3
bailaba; 2
bailamos; 1
bailando; 3
bailar; 7
bailaron; 1
bailarín; 1
baile; 4
bailes; 2
bailó; 1
baja; 3
bajaba; 2
bajamos; 1
bajando; 1
bajar; 3
bajaran; 1
bajaron; 2
bajas; 1
baje; 1
bajemos; 1
bajita; 1
bajo; 9
bajó; 2
balón; 1
bancos; 1
banda; 5
bandazo; 1
bandera; 1
bando; 4
bao; 1
baraja; 1
barandilla; 1
barba; 3
barbas; 1
barbilla; 1
barca; 4
barco; 30
barcos; 1
barquillas; 1
barra; 1
barranco; 1
barril; 1
barriles; 2
barro; 1
barrote; 3
barrotes; 1
bastaba; 2
bastante; 24
bastantes; 1
batalla; 3
batatas; 2
bayas; 1
baza; 1
bañar; 1
baño; 8
bañó; 1
baúl; 1
beber; 2
beberse; 1
beberte; 1
beberá; 1
bebido; 1
bebiste; 1
bebé; 5
bebés; 7
bebían; 1
beldad; 1
bella; 4
bellacos; 2
belleza; 1
bellota; 1
bendición; 1
bergantín; 4
besar; 1
beso; 18
besos; 2
bestezuelas; 1
bicho; 1
bien; 72
billón; 1
biombos; 1
blanca; 2
blancas; 1
blanco; 11
blancos; 4
bobadas; 1
bobo; 1
boca; 29
bocas; 2
boda; 1
bodega; 2
bolsa; 1
bolsillo; 2
bolsillos; 3
bomba; 1
bondad; 1
bondadoso; 1
bonita; 6
bonitas; 2
bonito; 10
bonitos; 3
boquiabierto; 1
boquiabiertos; 1
boquilla; 2
borda; 7
bordados; 1
bordas; 1
borde; 3
bordo; 10
borrado; 1
bosque; 11
bostezaron; 1
bostezo; 1
bote; 9
botín; 1
bramó; 1
brasa; 1
bravos; 4
bravuconas; 1
brazo; 16
brazos; 19
brebaje; 1
breve; 3
bribonzuelo; 1
brillaban; 2
brillante; 2
brillantes; 2
brillo; 1
brilló; 2
brincaba; 1
brincar; 1
brincos; 1
brisa; 1
brizna; 1
broma; 3
brotó; 2
bruces; 1
brusca; 1
bruscamente; 3
brusquedad; 2
brutal; 2
brutalmente; 1
bucaneros; 1
bucles; 1
buen; 7
buena; 18
buenas; 1
bueno; 4
buenos; 4
bufado; 1
bufidos; 1
bulle; 1
burbuja; 1
burbujas; 2
burlaban; 2
burlado; 1
burlona; 3
burlonamente; 1
burlones; 1
burlándose; 4
busca; 5
buscadlos; 1
buscado; 1
buscando; 12
buscar; 7
buscarla; 2
buscarlas; 1
buscarle; 1
buscarlo; 1
buscándolos; 1
buscó; 1
butaca; 2
caballero; 5
caballeros; 2
cabecilla; 1
cabellera; 1
cabelleras; 2
cabellos; 1
cabestrillo; 1
cabeza; 25
cabezadas; 1
cabezas; 3
cabo; 14
cabos; 1
cabremos; 1
cabían; 1
cacerolas; 1
cachete; 1
cachorros; 1
cada; 33
cadavérico; 1
cadena; 3
cadáver; 2
cae; 1
caen; 3
caer; 8
caerse; 2
café; 1
caja; 2
cajita; 2
cajitas; 1
cajones; 3
cajón; 5
calabaza; 3
calamidad; 1
calcetines; 3
calcetín; 2
calcula; 1
calculando; 2
calcular; 1
calculó; 1
calderero; 1
caldo; 1
calentándose; 1
caliente; 1
calificativo; 1
calla; 1
callada; 1
calladamente; 1
callado; 1
callar; 2
calle; 6
callejeras; 1
calma; 6
calmaba; 1
calmara; 1
calor; 2
calvicie; 1
calzados; 1
cama; 59
camarote; 17
camas; 11
camastros; 1
cambia; 1
cambiaba; 2
cambiado; 1
cambiar; 1
cambiarme; 1
cambiarte; 1
cambie; 1
cambio; 12
caminaba; 1
caminado; 1
caminando; 4
caminar; 3
caminaron; 1
camino; 15
caminos; 1
camisa; 1
camisas; 1
camisón; 4
campamento; 1
campana; 2
campanadas1; 1
campanas; 4
campanita; 1
campo; 1
campos; 1
canal; 1
canalla; 1
canallas; 1
canallescas; 1
canalón; 1
canapé; 1
cancioncilla; 1
canción; 8
cansa; 1
cansada; 1
cansadísimo; 1
cantaba; 1
cantando; 1
cantar; 7
cantidad; 3
cantidades; 1
canturreó; 1
cantándoles; 1
cantó; 1
canuto; 1
caníbal; 1
capa; 5
capaces; 1
capacidad; 3
capaz; 1
caperuza; 2
capitanes; 1
capitanesca; 1
capitán; 30
caprichosa; 1
captado; 1
captura; 1
capturado; 2
cara; 34
características; 1
característico; 1
caramelo; 1
carantoñas; 1
caras; 6
carcajada; 2
carcajadas; 1
cargada; 1
cargado; 1
cargados; 1
cargaran; 1
cargo; 2
cariño; 2
cariñosa; 1
cariñosas; 1
cariñoso; 3
cariñosos; 1
cariñosísima; 1
carne; 1
carnicería; 2
carrera; 1
carreras; 1
carroña; 1
carruaje; 1
carta; 1
cartas; 5
cartera; 1
carácter; 8
casa; 67
casada; 3
casados; 1
casas; 5
casco; 1
casi; 40
casita; 14
caso; 8
castigada; 1
castigo; 3
castillo; 2
casualidad; 3
casó; 3
categoría; 1
caterva; 1
catástrofe; 1
causaba; 1
causaré; 1
causaría; 1
causas; 1
causó; 1
cautela; 1
cautelosos; 2
cautiva; 1
cautivador; 1
cautivos; 1
cavar; 1
cavernas; 2
cayendo; 1
cayera; 2
cayeran; 1
cayeron; 1
cayó; 14
cazaba; 1
cazadores; 2
cazados; 1
cazar; 1
cazuelas; 1
caía; 1
caían; 1
caída; 2
caído; 4
cañas; 1
cañón; 1
ceder; 1
cediendo; 1
cedió; 1
cedía; 1
celosa; 1
celosísima; 1
cena; 1
cenando; 1
cenar; 4
censuraría; 1
centro; 2
cepilló; 1
cerca; 13
cercano; 2
cercanías; 1
cerebro; 3
cerebros; 1
ceremonias; 1
cero; 5
cerraban; 1
cerrada; 4
cerrado; 1
cerrados; 2
cerrar; 1
cerraron; 1
cerró; 2
certeramente; 1
certeza; 2
